,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
demandGrowthTrendDE-18,1.021,1.034,1.016,1.03,1.034,1.024,1.027,1.01,1.008,1.032,1.014,1.02,1.014,1.026,1.03,1.013,1.015,1.034,1.026,1.008,1.012,1.012,1.023,1.016,1.031,1.016,1.018,1.03,1.015,1.009,1.029,1.01,1.018,1.03,1.017,1.01,1.034,1.013,1.022,1.032,1.017,1.018,1.02,1.024,1.02,1.011,1.014,1.015,1.007,1.026,1.028,1.031,1.017,1.033,1.029,1.024,1.009,1.016,1.018,1.019,1.016,1.012,1.027,1.034,1.016,1.033
demandGrowthTrendDE-19,1.021,1.005,1.017,1.022,1.029,1.03,1.032,1.026,1.01,1.033,1.023,1.028,1.033,1.028,1.009,1.028,1.022,1.032,1.027,1.018,1.008,1.032,1.033,1.006,1.009,1.032,1.01,1.007,1.01,1.021,1.034,1.006,1.033,1.015,1.02,1.022,1.009,1.016,1.007,1.024,1.012,1.02,1.022,1.032,1.012,1.028,1.006,1.006,1.017,1.023,1.026,1.012,1.011,1.019,1.028,1.008,1.011,1.007,1.027,1.012,1.015,1.007,1.014,1.033,1.031,1.028
demandGrowthTrendDE-20,1.021,1.018,1.01,1.029,1.019,1.016,1.018,1.022,1.01,1.032,1.013,1.017,1.024,1.01,1.022,1.01,1.018,1.018,1.011,1.007,1.016,1.017,1.006,1.011,1.009,1.023,1.014,1.011,1.007,1.019,1.009,1.025,1.031,1.027,1.029,1.007,1.023,1.016,1.013,1.033,1.013,1.025,1.009,1.009,1.006,1.01,1.01,1.033,1.021,1.033,1.02,1.018,1.031,1.012,1.015,1.006,1.006,1.007,1.006,1.032,1.01,1.021,1.026,1.012,1.016,1.019
demandGrowthTrendDE-21,1.021,1.034,1.02,1.016,1.034,1.023,1.007,1.021,1.021,1.022,1.018,1.005,1.02,1.023,1.029,1.027,1.026,1.014,1.01,1.018,1.022,1.014,1.034,1.029,1.012,1.033,1.027,1.031,1.024,1.029,1.031,1.027,1.005,1.033,1.032,1.033,1.011,1.032,1.029,1.012,1.016,1.03,1.024,1.008,1.026,1.034,1.03,1.027,1.033,1.03,1.012,1.033,1.015,1.023,1.026,1.016,1.024,1.029,1.017,1.033,1.028,1.034,1.029,1.028,1.008,1.008
demandGrowthTrendDE-22,1.021,1.021,1.027,1.02,1.03,1.029,1.006,1.025,1.011,1.028,1.005,1.033,1.016,1.015,1.023,1.014,1.008,1.033,1.015,1.021,1.022,1.019,1.025,1.011,1.024,1.028,1.006,1.02,1.009,1.015,1.016,1.014,1.013,1.028,1.032,1.017,1.01,1.011,1.009,1.031,1.018,1.031,1.034,1.018,1.027,1.025,1.017,1.027,1.028,1.029,1.015,1.019,1.031,1.026,1.019,1.018,1.011,1.034,1.01,1.013,1.014,1.034,1.026,1.007,1.016,1.025
demandGrowthTrendDE-23,1.021,1.022,1.023,1.018,1.005,1.013,1.029,1.02,1.015,1.031,1.026,1.031,1.03,1.009,1.027,1.012,1.03,1.008,1.026,1.008,1.023,1.033,1.024,1.013,1.018,1.016,1.03,1.017,1.027,1.021,1.019,1.014,1.026,1.026,1.014,1.013,1.022,1.032,1.026,1.027,1.008,1.014,1.028,1.024,1.029,1.031,1.012,1.023,1.01,1.024,1.034,1.01,1.013,1.008,1.023,1.034,1.016,1.027,1.033,1.014,1.024,1.033,1.018,1.029,1.028,1.032
demandGrowthTrendDE-24,1.021,1.022,1.019,1.035,1.025,1.014,1.019,1.03,1.033,1.012,1.019,1.032,1.017,1.019,1.016,1.028,1.03,1.007,1.018,1.03,1.011,1.014,1.026,1.014,1.018,1.007,1.007,1.023,1.029,1.016,1.022,1.009,1.03,1.009,1.027,1.027,1.027,1.005,1.027,1.007,1.014,1.011,1.017,1.028,1.014,1.02,1.006,1.018,1.024,1.008,1.015,1.016,1.034,1.023,1.024,1.015,1.011,1.03,1.007,1.027,1.014,1.023,1.033,1.018,1.011,1.035
demandGrowthTrendDE-25,1.021,1.022,1.023,1.029,1.031,1.033,1.033,1.02,1.025,1.026,1.008,1.008,1.028,1.013,1.019,1.013,1.022,1.009,1.028,1.009,1.022,1.033,1.019,1.028,1.018,1.021,1.009,1.018,1.023,1.032,1.008,1.011,1.031,1.007,1.029,1.005,1.033,1.026,1.015,1.028,1.032,1.025,1.006,1.034,1.017,1.02,1.009,1.031,1.014,1.005,1.022,1.021,1.035,1.018,1.018,1.014,1.031,1.006,1.014,1.023,1.033,1.008,1.012,1.008,1.023,1.018
demandGrowthTrendDE-26,1.021,1.029,1.013,1.027,1.033,1.008,1.014,1.033,1.005,1.017,1.029,1.026,1.019,1.006,1.017,1.012,1.024,1.021,1.034,1.011,1.021,1.031,1.006,1.023,1.023,1.018,1.019,1.015,1.012,1.019,1.028,1.024,1.025,1.018,1.026,1.008,1.021,1.013,1.031,1.026,1.024,1.029,1.019,1.032,1.026,1.032,1.014,1.019,1.016,1.019,1.03,1.018,1.02,1.026,1.006,1.015,1.026,1.012,1.011,1.027,1.009,1.006,1.022,1.034,1.033,1.013
demandGrowthTrendDE-27,1.021,1.011,1.02,1.029,1.013,1.033,1.009,1.007,1.02,1.019,1.016,1.032,1.026,1.008,1.022,1.018,1.012,1.025,1.014,1.019,1.031,1.019,1.016,1.02,1.03,1.008,1.018,1.027,1.005,1.024,1.014,1.021,1.014,1.009,1.031,1.018,1.017,1.014,1.01,1.032,1.013,1.025,1.028,1.023,1.026,1.02,1.026,1.024,1.029,1.016,1.026,1.019,1.031,1.013,1.032,1.012,1.022,1.018,1.021,1.017,1.026,1.034,1.031,1.01,1.028,1.025
demandGrowthTrendDE-28,1.021,1.015,1.022,1.035,1.024,1.016,1.011,1.006,1.019,1.026,1.017,1.027,1.023,1.009,1.025,1.03,1.035,1.011,1.031,1.018,1.027,1.006,1.024,1.01,1.017,1.029,1.005,1.022,1.027,1.008,1.007,1.025,1.029,1.024,1.031,1.032,1.027,1.018,1.022,1.023,1.029,1.017,1.015,1.033,1.025,1.015,1.008,1.009,1.011,1.008,1.007,1.021,1.033,1.032,1.032,1.009,1.009,1.023,1.025,1.023,1.014,1.01,1.022,1.025,1.03,1.01
demandGrowthTrendDE-29,1.021,1.032,1.017,1.012,1.014,1.03,1.023,1.029,1.014,1.013,1.024,1.024,1.012,1.023,1.029,1.023,1.021,1.016,1.011,1.011,1.024,1.021,1.011,1.017,1.017,1.033,1.023,1.01,1.025,1.018,1.011,1.03,1.019,1.027,1.014,1.007,1.027,1.013,1.033,1.028,1.006,1.024,1.014,1.015,1.027,1.031,1.016,1.033,1.031,1.026,1.02,1.033,1.028,1.024,1.011,1.011,1.005,1.014,1.015,1.011,1.013,1.011,1.032,1.018,1.006,1.01
demandGrowthTrendDE-30,1.021,1.012,1.026,1.029,1.026,1.033,1.015,1.011,1.022,1.007,1.021,1.031,1.021,1.006,1.018,1.009,1.028,1.023,1.019,1.012,1.017,1.029,1.035,1.011,1.028,1.012,1.018,1.018,1.018,1.033,1.022,1.015,1.024,1.031,1.018,1.034,1.021,1.034,1.022,1.032,1.029,1.027,1.018,1.015,1.007,1.016,1.017,1.031,1.01,1.026,1.012,1.017,1.03,1.011,1.011,1.008,1.028,1.031,1.022,1.027,1.006,1.033,1.033,1.005,1.033,1.031
demandGrowthTrendDE-31,1.021,1.017,1.01,1.031,1.011,1.021,1.028,1.026,1.013,1.02,1.027,1.006,1.014,1.019,1.021,1.034,1.014,1.034,1.029,1.019,1.014,1.032,1.021,1.022,1.028,1.027,1.028,1.022,1.023,1.034,1.019,1.029,1.028,1.025,1.015,1.023,1.018,1.033,1.032,1.013,1.032,1.024,1.008,1.008,1.031,1.028,1.026,1.01,1.016,1.01,1.008,1.021,1.007,1.008,1.02,1.014,1.016,1.01,1.024,1.008,1.021,1.03,1.016,1.013,1.027,1.008
demandGrowthTrendDE-32,1.021,1.024,1.005,1.034,1.02,1.027,1.035,1.024,1.034,1.022,1.012,1.005,1.027,1.023,1.028,1.009,1.009,1.034,1.026,1.011,1.018,1.008,1.011,1.013,1.015,1.012,1.013,1.009,1.028,1.033,1.022,1.014,1.014,1.029,1.021,1.029,1.006,1.023,1.022,1.028,1.024,1.023,1.034,1.015,1.031,1.025,1.009,1.015,1.023,1.024,1.033,1.033,1.006,1.024,1.014,1.015,1.017,1.011,1.029,1.012,1.02,1.016,1.018,1.033,1.006,1.025
demandGrowthTrendDE-33,1.021,1.012,1.025,1.006,1.028,1.014,1.033,1.025,1.019,1.024,1.026,1.017,1.03,1.01,1.008,1.031,1.023,1.017,1.007,1.01,1.026,1.022,1.014,1.024,1.01,1.009,1.019,1.01,1.012,1.012,1.028,1.011,1.017,1.024,1.006,1.034,1.025,1.027,1.016,1.019,1.006,1.029,1.005,1.033,1.025,1.024,1.009,1.007,1.027,1.018,1.015,1.027,1.023,1.026,1.017,1.021,1.025,1.033,1.015,1.033,1.018,1.011,1.023,1.029,1.006,1.03
demandGrowthTrendDE-34,1.021,1.023,1.027,1.034,1.009,1.029,1.023,1.01,1.025,1.016,1.023,1.018,1.018,1.029,1.013,1.012,1.02,1.026,1.014,1.014,1.033,1.035,1.01,1.023,1.033,1.035,1.008,1.023,1.02,1.026,1.005,1.012,1.028,1.021,1.01,1.017,1.011,1.012,1.021,1.006,1.005,1.015,1.006,1.029,1.012,1.022,1.031,1.011,1.009,1.024,1.03,1.025,1.028,1.01,1.017,1.024,1.034,1.012,1.011,1.009,1.028,1.032,1.014,1.026,1.03,1.029
demandGrowthTrendDE-35,1.021,1.011,1.016,1.035,1.022,1.009,1.013,1.034,1.015,1.012,1.011,1.006,1.032,1.013,1.006,1.024,1.013,1.02,1.02,1.019,1.017,1.032,1.018,1.01,1.027,1.012,1.012,1.02,1.013,1.03,1.026,1.031,1.033,1.025,1.018,1.015,1.028,1.008,1.035,1.025,1.024,1.008,1.022,1.031,1.03,1.011,1.019,1.021,1.025,1.034,1.013,1.015,1.01,1.005,1.016,1.022,1.012,1.012,1.018,1.021,1.009,1.006,1.019,1.021,1.017,1.035
demandGrowthTrendDE-36,1.021,1.021,1.012,1.033,1.025,1.016,1.032,1.018,1.019,1.02,1.023,1.022,1.022,1.011,1.035,1.009,1.008,1.027,1.019,1.027,1.005,1.025,1.01,1.009,1.011,1.014,1.026,1.023,1.006,1.025,1.021,1.026,1.028,1.026,1.031,1.014,1.012,1.018,1.014,1.03,1.008,1.025,1.027,1.03,1.015,1.025,1.014,1.012,1.028,1.021,1.008,1.024,1.009,1.032,1.021,1.028,1.01,1.028,1.008,1.032,1.022,1.027,1.024,1.008,1.03,1.013
demandGrowthTrendDE-37,1.021,1.015,1.015,1.021,1.009,1.007,1.03,1.026,1.021,1.014,1.028,1.029,1.007,1.025,1.026,1.03,1.027,1.007,1.011,1.022,1.018,1.011,1.012,1.028,1.013,1.027,1.028,1.034,1.024,1.031,1.013,1.018,1.019,1.032,1.017,1.024,1.024,1.008,1.018,1.014,1.005,1.012,1.008,1.022,1.028,1.017,1.018,1.016,1.022,1.012,1.017,1.03,1.011,1.007,1.005,1.023,1.032,1.025,1.011,1.027,1.007,1.032,1.013,1.024,1.013,1.024
demandGrowthTrendDE-38,1.021,1.026,1.014,1.012,1.034,1.034,1.011,1.035,1.026,1.023,1.013,1.023,1.015,1.006,1.022,1.029,1.026,1.018,1.008,1.023,1.02,1.016,1.015,1.026,1.017,1.012,1.015,1.029,1.032,1.016,1.022,1.034,1.022,1.015,1.022,1.01,1.022,1.016,1.014,1.023,1.01,1.007,1.022,1.028,1.012,1.02,1.019,1.016,1.014,1.028,1.033,1.007,1.03,1.028,1.023,1.027,1.011,1.01,1.024,1.025,1.015,1.007,1.007,1.027,1.034,1.022
demandGrowthTrendDE-39,1.021,1.012,1.01,1.035,1.015,1.029,1.034,1.029,1.03,1.022,1.01,1.007,1.005,1.008,1.035,1.033,1.016,1.008,1.014,1.013,1.012,1.023,1.03,1.028,1.016,1.013,1.026,1.022,1.016,1.008,1.027,1.014,1.006,1.02,1.015,1.022,1.016,1.016,1.03,1.029,1.022,1.011,1.008,1.016,1.015,1.007,1.017,1.027,1.032,1.017,1.023,1.027,1.03,1.031,1.01,1.015,1.021,1.024,1.028,1.028,1.021,1.018,1.018,1.026,1.027,1.02
demandGrowthTrendDE-40,1.021,1.021,1.032,1.03,1.034,1.018,1.022,1.008,1.033,1.018,1.024,1.029,1.016,1.031,1.018,1.014,1.011,1.007,1.008,1.018,1.008,1.021,1.03,1.018,1.014,1.014,1.013,1.013,1.014,1.008,1.032,1.027,1.033,1.01,1.013,1.013,1.02,1.023,1.021,1.008,1.019,1.014,1.012,1.009,1.024,1.019,1.031,1.03,1.01,1.018,1.006,1.03,1.026,1.028,1.025,1.02,1.012,1.024,1.03,1.029,1.033,1.006,1.017,1.008,1.03,1.03
